EAN,Quantity,Price
9780030968358,3,$38.96
9780060000387,6,$40.69
9780060000448,5,$21.58
9780061997228,9,$6.33
9780062270467,5,$4.15
9780062397348,106,$7.9
9780070109100,6,$65.65
9780071390118,34,$34.1
9780071624947,4,$14.62
9780071771320,22,$2.0
9780071828987,3,$3.53
9780071835022,5,$39.8
9780071835978,7,$40.17
9780071842709,17,$24.6
9780071845069,19,$15.95
9780071847087,9,$20.4
9780071848275,18,$25.54
9780071849272,4,$15.99
9780072464788,26,$22.8
9780072826845,15,$31.74
9780072943825,3,$63.7
9780073137940,10,$57.16
9780073369297,113,$34.4
9780073369440,27,$12.32
9780073373775,7,$56.55
9780073373874,22,$77.91
9780073376301,14,$35.99
9780073376653,68,$60.54
9780073377353,54,$84.1
9780073379159,3,$54.87
9780073379210,16,$51.95
9780073379296,8,$69.67
9780073382203,9,$51.24
9780073382296,8,$3.26
9780073384429,10,$14.92
9780073384542,9,$32.06
9780073385372,64,$35.92
9780073385396,24,$25.73
9780073386133,49,$53.94
9780073386461,33,$73.91
9780073386478,8,$37.29
9780073397108,16,$25.01
9780073397900,11,$53.18
9780073398167,4,$55.9
9780073398204,3,$100.53
9780073398235,18,$41.92
9780073398242,22,$107.67
9780073398266,10,$67.31
9780073400945,5,$68.69
9780073401317,3,$73.63
9780073401331,27,$66.75
9780073402413,44,$15.53
9780073402987,55,$68.32
9780073403281,40,$50.43
9780073404776,9,$37.0
9780073406824,7,$36.69
9780073406985,256,$5.07
9780073407012,49,$35.01
9780073407456,4,$47.4
9780073407524,13,$54.0
9780073511184,57,$23.61
9780073511214,20,$96.92
9780073511245,47,$71.58
9780073512044,12,$40.73
9780073512150,44,$47.23
9780073512914,22,$51.67
9780073513294,24,$73.31
9780073513324,62,$59.88
9780073513331,74,$53.9
9780073513348,22,$106.52
9780073513584,13,$26.35
9780073513591,29,$47.28
9780073513799,26,$31.18
9780073513805,12,$38.32
9780073513812,35,$38.99
9780073513836,20,$30.11
9780073513911,44,$70.91
9780073514260,23,$62.93
9780073514284,14,$105.6
9780073514291,15,$97.72
9780073514307,154,$71.55
9780073517858,21,$69.08
9780073522593,21,$86.16
9780073523002,7,$70.24
9780073523934,31,$50.0
9780073523941,22,$117.15
9780073524245,18,$62.23
9780073525358,26,$92.04
9780073526645,11,$36.77
9780073532554,23,$60.45
9780073534442,27,$59.21
9780073534497,116,$87.07
9780077407513,39,$18.56
9780077599829,5,$9.67
9780077655174,7,$40.72
9780077687304,55,$72.69
9780077705169,103,$22.92
9780077720568,10,$82.47
9780077720582,39,$59.25
9780077720612,13,$83.52
9780077726676,10,$57.2
9780077729028,143,$39.57
9780077729035,173,$30.66
9780077732509,41,$131.72
9780077733711,129,$94.3
9780077733735,35,$80.8
9780077733773,24,$66.7
9780077736224,19,$95.7
9780077780425,29,$24.64
9780077826482,27,$25.8
9780077831882,21,$18.9
9780077836337,21,$25.5
9780077836344,53,$56.55
9780077836375,54,$72.74
9780077836382,22,$29.26
9780077837273,6,$65.0
9780077837280,11,$70.54
9780077837310,191,$4.7
9780077842154,15,$40.8
9780077842161,5,$83.5
9780077860509,10,$91.21
9780077861636,41,$42.76
9780077861667,6,$73.96
9780077861728,5,$82.34
9780077861742,43,$61.03
9780077861773,3,$15.83
9780077861841,12,$84.34
9780077861872,15,$64.56
9780077861926,25,$132.0
9780077861995,106,$81.3
9780077862275,87,$37.72
9780077862336,46,$51.02
9780077862428,41,$51.67
9780077862619,7,$73.14
9780077862626,12,$99.72
9780078020551,26,$111.05
9780078021046,74,$67.16
9780078021350,55,$73.88
9780078021510,81,$27.99
9780078021541,23,$64.25
9780078021558,10,$101.7
9780078021688,9,$49.79
9780078021862,24,$95.61
9780078021893,3,$90.79
9780078021909,28,$14.71
9780078021916,8,$61.2
9780078022753,61,$90.15
9780078022920,52,$56.04
9780078022937,18,$42.12
9780078023033,14,$96.36
9780078023064,36,$79.98
9780078023163,90,$57.77
9780078023187,54,$49.92
9780078023194,13,$55.71
9780078023798,48,$106.22
9780078023811,3,$62.23
9780078023842,21,$55.71
9780078023859,53,$87.96
9780078024061,4,$55.04
9780078024078,4,$43.41
9780078024092,34,$75.19
9780078024252,53,$30.81
9780078024269,125,$78.67
9780078024283,153,$66.4
9780078024290,50,$59.61
9780078024306,4,$76.87
9780078024429,15,$50.59
9780078024535,8,$52.9
9780078025228,12,$40.51
9780078025754,40,$27.77
9780078025761,75,$38.34
9780078025792,38,$51.69
9780078025822,76,$85.14
9780078025839,113,$51.67
9780078025884,9,$62.38
9780078025907,36,$36.0
9780078026577,40,$79.22
9780078026584,7,$122.65
9780078026782,3,$27.59
9780078027024,58,$68.89
9780078028229,7,$99.0
9780078028564,9,$85.02
9780078028649,195,$50.6
9780078028656,10,$59.64
9780078028960,62,$27.13
9780078029066,6,$124.22
9780078035456,6,$32.26
9780078035654,42,$46.22
9780078036071,102,$40.7
9780078036224,24,$40.5
9780078036941,8,$34.82
9780078037054,25,$37.85
9780078038181,57,$36.75
9780078038457,27,$19.68
9780078096105,24,$73.55
9780078096945,5,$45.6
9780078097294,3,$29.36
9780078097324,3,$55.28
9780078110436,146,$59.82
9780078110962,20,$56.66
9780078112102,25,$162.62
9780078112850,11,$88.84
9780078112959,19,$83.24
9780078117084,76,$49.46
9780078117183,136,$85.49
9780078130755,72,$32.52
9780078139628,10,$20.9
9780123741349,14,$27.42
9780123744272,3,$11.97
